orgao;e_mail;se_a_comissao_foi_treinada
AGE;comissaodeetica@advocaciageral.mg.gov.br;Não
ARMBH;"lidiane.dornelas@agenciarmbh.mg.gov.br; newton.carvalho@agenciarmbh.mg.gov.br; alex.bastos@agenciarmbh.mg.gov.br; tais.mendes@agenciarmbh.mg.gov.br";Sim
ARMVA;katia.souza@agenciarmva.mg.gov.br;Não
ARSAE-MG;comissaodeetica@arsae.mg.gov.br;Não
BDMG;comissaodeetica@bdmg.mg.gov.br;Não
CODEMGE;comissaodeetica@codemge.com.br;Não
CEMIG;comissaodeetica@cemig.com.br;Não
COHAB;comissaodeetica@cohab.mg.gov.br;Sim
GASMIG;comissaodeetica@gasmig.com.br;Sim
COPASA;comissao.etica@copasa.com.br;Não
CEAS/MG;"ceasmg@yahoo.com.br; ceas@social.mg.gov.br";Não
CEE;cee.etica@educacao.mg.gov.br;Não
CGE;comissaodeetica@cge.mg.gov.br;Não
CBMMG;julio.toffoli@bombeiros.mg.gov.br;Não
DER/MG;comissaodeetica@der.mg.gov.br;Sim
EMATER;comissaodeetica@emater.mg.gov.br;Não
EMC;comissaodeetica@inconfidencia.com.br;Sim
EPAMIGCENT;comissaodeetica@epamig.br;Sim
EPAMIGNORT;comissaodeetica@epamig.br;Não
EPAMIGOEST;comissaodeetica@epamig.br;Não
EPAMIGSUL;comissaodeetica@epamig.br;Não
EPAMIGSE;comissaodeetica@epamig.br;Não
EPAMIGCO;elizabete.barbosa@epamig.br;Não
EPAMIGILCT;comissaodeetica@epamig.br;Não
EPAMIGITAC;comissaodeetica@epamig.br;Não
PRODEMGE;comissaodeetica@prodemge.gov.br;Sim
ESP-MG;eticapublica@esp.mg.gov.br;Sim
FAPEMIG;comissaodeetica@fapemig.br;Não
FAOP;"comissaodeetica@faop.mg.gov.br; lara.alves@faop.mg.gov.br";Não
HEMOMINAS;comissaodeetica@hemominas.mg.gov.br;Sim
UTRAMIG;comissaodeetica@utramig.mg.gov.br;Sim
FUCAM;"paloma.guedes@edu.fucam.mg.gov.br; olinda.rocha@edu.fucam.mg.gov.br; moises.lima@edu.fucam.mg.gov.br; fernanda.santos@edu.fucam.mg.gov.br";Não
FEAM;comissaodeeticafeam@meioambiente.mg.gov.br;Sim
FUNED;cometicap@funed.mg.gov.br;Sim
FHA;"comissaodeetica@fha.mg.gov.br; planejamento@fha.mg.gov.br";Não
FHEMIG;adc.etica@fhemig.mg.gov.br;Não
FJP;comissao.etica@fjp.mg.gov.br;Sim
GMG;vinicius.freitas@gabinetemilitar.mg.gov.br;Não
IEF;comissaodeeticaief@meioambiente.mg.gov.br;Sim
IEPHA;"ana.souza@iepha.mg.gov.br; carina.reyder@iepha.mg.gov.br; karina.jentzsch@iepha.mg.gov.br; jurema.moraes@iepha.mg.gov.br; cristina.nicolai@iepha.mg.gov.br; comissaode.etica@iepha.mg.gov.br";Sim
IGAM;"comissaodeetica.igam@yahoo.com.br; athos.souza@meioambiente.mg.gov.br";Sim
IMA;grh@ima.mg.gov.br;Não
INDI;comissaodeetica@indi.mg.gov.br;Não
IPEM;comissaodeetica@ipem.mg.gov.br;Não
IPSEMG;"presidencia@ipsemg.mg.gov.br; lenise.lopes@ipsemg.mg.gov.br; iasmim.miranda@ipsemg.mg.gov.br; monica.bracarense@ipsemg.mg.gov.br; patricia.cassini@ipsemg.mg.gov.br; rizia.almeida@ipsemg.mg.gov.br; karem.resende@ipsemg.mg.gov.br; valeria.cassia@ipsemg.mg.gov.br; flavio.freitas@ipsemg.mg.gov.br; breno.carvalhaes@ipsemg.mg.gov.br; clara.oliveira@ipsemg.mg.gov.br; etica@ipsemg.mg.gov.br";Sim
IPSM;"comissao.etica@ipsm.gov.br; robson.matos@ipsm.gov.br";Sim
JUCEMG;"comissaoetica@jucemg.mg.gov.br; moaciar.teixeira@jucemg.mg.gov.br";Sim
LEMG;comissao-etica@loteriademinas.com.br;Sim
MGI;comissaodeetica@mgipart.com.br;Não
MGS;comissao.etica@mgs.srv.br;Sim
OGE;comissaodeetica@ouvidoriageral.mg.gov.br;Sim
PCMG;gabinete.cgpc@pcivil.mg.gov.br;Sim
PMMG;drh6@pmmg.mg.gov.br;Não
SEC. GERAL;"lucelia.morioka@governo.mg.gov.br;  elaine.jesus@governo.mg.gov.br";Não
SEAPA;comissaodeetica@agricultura.mg.gov.br;Não
SECULT;ana.agenor@secult.mg.gov.br;Sim
SEDE;comissao.etica@desenvolvimento.mg.gov.br;Não
SEDESE;comissaodeeticasedese@social.mg.gov.br;Sim
IDENE;"thiago.lopes@idene.mg.gov.br; carla.lopes@idene.mg.gov.br;";Sim
SEE;comissao.etica@educacao.mg.gov.br;Sim
SEF;comissaodeetica@fazenda.mg.gov.br;Sim
SEGOV;comissaodeetica@governo.mg.gov.br;Sim
SEINFRA;comissao.etica@infraestrutura.mg.gov.br;Sim
SEJUSP;eticasejuspmg@gmail.com;Não
SEMAD;comissaodeeticasemad@meioambiente.mg.gov.br;Sim
SEPLAG;comissaodeetica@planejamento.mg.gov.br;Sim
SES;etica.ses@saude.mg.gov.br;Sim
UEMG;comissaodeeticauemg@gmail.com;Não
FCV;;Não
